target_corr	kind	background	n	k_extremes	scenario	selected_magnitude	calibrated_mean_corr	calibrated_mean_norm	alpha	evaluation_repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_norm	mean_corr	mean_p	p05	p50	p95	mean_index_overlap
0.25	l1	lognormal	160	3	matched	3.5	0.2433	0.7657	0.05	220	399	198	0.9	0.8532	0.933	0.7644	0.2379	0.0223	0.0025	0.0175	0.0575	3.0
0.25	l1	lognormal	160	3	independent_null	3.5	0.2433	0.7657	0.05	220	399	11	0.05	0.0281	0.0873	0.6905	0.0058	0.4798	0.0519	0.4425	0.9425	0.0727
0.35	l2	normal	40	1	matched	3.0	0.3533	0.9434	0.05	220	399	138	0.6273	0.5617	0.6885	0.942	0.3341	0.0602	0.005	0.035	0.2251	1.0
0.35	l2	normal	40	1	independent_null	3.0	0.3533	0.9434	0.05	220	399	15	0.0682	0.0418	0.1094	0.9106	-0.0043	0.5195	0.045	0.5625	0.96	0.0455
0.35	l2	normal	40	2	matched	2.5	0.3411	0.9468	0.05	220	399	149	0.6773	0.6129	0.7356	0.9477	0.3461	0.0612	0.0025	0.025	0.2434	2.0
0.35	l2	normal	40	2	independent_null	2.5	0.3411	0.9468	0.05	220	399	10	0.0455	0.0249	0.0816	0.9187	0.0093	0.4848	0.0573	0.475	0.9452	0.1091
0.35	l2	normal	40	3	matched	2.5	0.3827	0.952	0.05	220	399	167	0.7591	0.6984	0.8108	0.9522	0.384	0.0347	0.0025	0.015	0.1255	3.0
0.35	l2	normal	40	3	independent_null	2.5	0.3827	0.952	0.05	220	399	12	0.0545	0.0315	0.0929	0.9215	0.0206	0.4614	0.0449	0.4587	0.9602	0.2773
0.35	l2	normal	80	1	matched	4.0	0.3858	0.9394	0.05	220	399	214	0.9727	0.9418	0.9874	0.9396	0.3831	0.0129	0.0025	0.01	0.04	1.0
0.35	l2	normal	80	1	independent_null	4.0	0.3858	0.9394	0.05	220	399	14	0.0636	0.0383	0.104	0.9	-0.005	0.5244	0.0448	0.5088	0.98	0.0136
0.35	l2	normal	80	2	matched	3.0	0.3535	0.9417	0.05	220	399	198	0.9	0.8532	0.933	0.9399	0.3287	0.0171	0.0025	0.0075	0.0625	2.0
0.35	l2	normal	80	2	independent_null	3.0	0.3535	0.9417	0.05	220	399	13	0.0591	0.0349	0.0985	0.9091	0.0004	0.5013	0.0398	0.495	0.95	0.05
0.35	l2	normal	80	3	matched	3.0	0.4201	0.9467	0.05	220	399	218	0.9909	0.9675	0.9975	0.9468	0.4167	0.0059	0.0025	0.0025	0.02	3.0
0.35	l2	normal	80	3	independent_null	3.0	0.4201	0.9467	0.05	220	399	11	0.05	0.0281	0.0873	0.9086	0.0145	0.4619	0.0546	0.42	0.9504	0.1
0.35	l2	normal	160	1	matched	5.0	0.3578	0.9348	0.05	220	399	220	1.0	0.9828	1.0	0.9348	0.3597	0.0057	0.0025	0.005	0.0125	1.0
0.35	l2	normal	160	1	independent_null	5.0	0.3578	0.9348	0.05	220	399	12	0.0545	0.0315	0.0929	0.8984	0.0055	0.4828	0.0399	0.4862	0.9501	0.0045
0.35	l2	normal	160	2	matched	4.0	0.3765	0.9383	0.05	220	399	220	1.0	0.9828	1.0	0.9376	0.3736	0.0031	0.0025	0.0025	0.005	2.0
0.35	l2	normal	160	2	independent_null	4.0	0.3765	0.9383	0.05	220	399	17	0.0773	0.0488	0.1203	0.9002	0.007	0.4866	0.0375	0.5188	0.9454	0.0136
0.35	l2	normal	160	3	matched	3.5	0.3713	0.9386	0.05	220	399	220	1.0	0.9828	1.0	0.9392	0.3708	0.0028	0.0025	0.0025	0.005	3.0
0.35	l2	normal	160	3	independent_null	3.5	0.3713	0.9386	0.05	220	399	19	0.0864	0.056	0.1309	0.9032	0.0078	0.4802	0.025	0.5025	0.9629	0.0955
0.35	l2	t3	40	1	matched	5.5	0.3544	0.9108	0.05	220	399	122	0.5545	0.4885	0.6187	0.9113	0.3564	0.0755	0.005	0.04	0.2455	1.0
0.35	l2	t3	40	1	independent_null	5.5	0.3544	0.9108	0.05	220	399	11	0.05	0.0281	0.0873	0.8586	-0.0068	0.5105	0.0545	0.4875	0.965	0.0136
0.35	l2	t3	40	2	matched	4.5	0.3547	0.9217	0.05	220	399	133	0.6045	0.5387	0.6668	0.923	0.3761	0.0697	0.0025	0.03	0.3027	2.0
0.35	l2	t3	40	2	independent_null	4.5	0.3547	0.9217	0.05	220	399	10	0.0455	0.0249	0.0816	0.8763	-0.0038	0.5053	0.0645	0.505	0.9451	0.0909
0.35	l2	t3	40	3	matched	4.0	0.3196	0.9234	0.05	220	399	124	0.5636	0.4976	0.6275	0.9281	0.3373	0.086	0.0025	0.0363	0.3282	3.0
0.35	l2	t3	40	3	independent_null	4.0	0.3196	0.9234	0.05	220	399	12	0.0545	0.0315	0.0929	0.8894	0.006	0.5	0.0446	0.515	0.9401	0.2364
0.35	l2	t3	80	1	matched	7.0	0.3259	0.8979	0.05	220	399	152	0.6909	0.627	0.7483	0.8959	0.3217	0.0448	0.0025	0.025	0.1377	1.0
0.35	l2	t3	80	1	independent_null	7.0	0.3259	0.8979	0.05	220	399	14	0.0636	0.0383	0.104	0.8466	0.0196	0.4393	0.0474	0.3975	0.9152	0.0318
0.35	l2	t3	80	2	matched	6.0	0.3453	0.9041	0.05	220	399	174	0.7909	0.7324	0.8394	0.9044	0.3594	0.0302	0.0025	0.01	0.1051	2.0
0.35	l2	t3	80	2	independent_null	6.0	0.3453	0.9041	0.05	220	399	12	0.0545	0.0315	0.0929	0.853	0.0092	0.4911	0.0396	0.49	0.9627	0.0773
0.35	l2	t3	80	3	matched	5.0	0.3405	0.914	0.05	220	399	180	0.8182	0.7619	0.8635	0.9119	0.3436	0.0301	0.0025	0.01	0.1175	3.0
0.35	l2	t3	80	3	independent_null	5.0	0.3405	0.914	0.05	220	399	10	0.0455	0.0249	0.0816	0.8633	-0.0031	0.5054	0.0575	0.5237	0.9502	0.1409
0.35	l2	t3	160	1	matched	10.0	0.3326	0.8834	0.05	220	399	205	0.9318	0.8906	0.9582	0.8859	0.3413	0.0166	0.0025	0.01	0.055	1.0
0.35	l2	t3	160	1	independent_null	10.0	0.3326	0.8834	0.05	220	399	6	0.0273	0.0126	0.0582	0.8232	-0.0059	0.5186	0.0774	0.53	0.9326	0.0
0.35	l2	t3	160	2	matched	8.0	0.3686	0.8944	0.05	220	399	210	0.9545	0.9184	0.9751	0.8903	0.3513	0.013	0.0025	0.005	0.0475	2.0
0.35	l2	t3	160	2	independent_null	8.0	0.3686	0.8944	0.05	220	399	13	0.0591	0.0349	0.0985	0.8312	0.0031	0.4892	0.0471	0.5088	0.9227	0.0409
0.35	l2	t3	160	3	matched	7.0	0.3661	0.8973	0.05	220	399	211	0.9591	0.9241	0.9783	0.8998	0.3713	0.0096	0.0025	0.0025	0.0425	3.0
0.35	l2	t3	160	3	independent_null	7.0	0.3661	0.8973	0.05	220	399	10	0.0455	0.0249	0.0816	0.8402	0.009	0.4561	0.0549	0.4075	0.91	0.0591
0.35	l2	t2	40	1	matched	8.0	0.2979	0.8773	0.05	220	399	77	0.35	0.29	0.4151	0.8787	0.2949	0.1067	0.0075	0.0725	0.3331	1.0
0.35	l2	t2	40	1	independent_null	8.0	0.2979	0.8773	0.05	220	399	20	0.0909	0.0596	0.1362	0.8316	0.0089	0.5056	0.0249	0.5475	0.9501	0.0227
0.35	l2	t2	40	2	matched	7.0	0.3952	0.9096	0.05	220	399	109	0.4955	0.43	0.561	0.9038	0.3629	0.0772	0.0025	0.05	0.2427	2.0
0.35	l2	t2	40	2	independent_null	7.0	0.3952	0.9096	0.05	220	399	8	0.0364	0.0185	0.0701	0.8457	0.001	0.5029	0.0525	0.495	0.9379	0.0682
0.35	l2	t2	40	3	matched	6.0	0.3514	0.9129	0.05	220	399	108	0.4909	0.4256	0.5566	0.9063	0.3207	0.1123	0.0025	0.0525	0.3884	3.0
0.35	l2	t2	40	3	independent_null	6.0	0.3514	0.9129	0.05	220	399	6	0.0273	0.0126	0.0582	0.8641	-0.0057	0.4969	0.0871	0.4825	0.9351	0.2591
0.35	l2	t2	80	1	matched	10.0	0.273	0.8614	0.05	220	399	105	0.4773	0.4122	0.5431	0.8512	0.2399	0.0742	0.0075	0.0525	0.2077	1.0
0.35	l2	t2	80	1	independent_null	10.0	0.273	0.8614	0.05	220	399	8	0.0364	0.0185	0.0701	0.8037	-0.0094	0.5062	0.0724	0.5088	0.9452	0.0
0.35	l2	t2	80	2	matched	10.0	0.3409	0.8749	0.05	220	399	160	0.7273	0.6649	0.7818	0.882	0.3798	0.0413	0.0025	0.01	0.1675	2.0
0.35	l2	t2	80	2	independent_null	10.0	0.3409	0.8749	0.05	220	399	9	0.0409	0.0217	0.0759	0.8061	0.0047	0.4904	0.0575	0.4413	0.9602	0.0455
0.35	l2	t2	80	3	matched	8.0	0.3783	0.8968	0.05	220	399	141	0.6409	0.5756	0.7014	0.8819	0.3279	0.0612	0.0025	0.0163	0.2529	3.0
0.35	l2	t2	80	3	independent_null	8.0	0.3783	0.8968	0.05	220	399	8	0.0364	0.0185	0.0701	0.8252	0.0031	0.4754	0.0718	0.4525	0.9376	0.1045
0.35	l2	t2	160	1	matched	10.0	0.1338	0.8283	0.05	220	399	66	0.3	0.2433	0.3636	0.8186	0.1213	0.1117	0.0125	0.0838	0.311	1.0
0.35	l2	t2	160	1	independent_null	10.0	0.1338	0.8283	0.05	220	399	12	0.0545	0.0315	0.0929	0.7972	0.0081	0.4768	0.0421	0.4575	0.9427	0.0045
0.35	l2	t2	160	2	matched	10.0	0.1757	0.8287	0.05	220	399	134	0.6091	0.5433	0.6712	0.8385	0.2105	0.058	0.0025	0.0312	0.2127	2.0
0.35	l2	t2	160	2	independent_null	10.0	0.1757	0.8287	0.05	220	399	8	0.0364	0.0185	0.0701	0.7932	-0.0023	0.497	0.0724	0.4888	0.9426	0.0227
0.35	l2	t2	160	3	matched	10.0	0.2819	0.8584	0.05	220	399	158	0.7182	0.6554	0.7735	0.8477	0.2597	0.0401	0.0025	0.02	0.1625	3.0
0.35	l2	t2	160	3	independent_null	10.0	0.2819	0.8584	0.05	220	399	13	0.0591	0.0349	0.0985	0.7965	-0.0011	0.5068	0.0348	0.515	0.928	0.0545
0.35	l2	lognormal	40	1	matched	3.5	0.3313	0.9142	0.05	220	399	78	0.3545	0.2943	0.4198	0.9126	0.3313	0.0658	0.0075	0.0638	0.1351	1.0
0.35	l2	lognormal	40	1	independent_null	3.5	0.3313	0.9142	0.05	220	399	13	0.0591	0.0349	0.0985	0.8728	0.005	0.5074	0.0425	0.52	0.9676	0.0455
0.35	l2	lognormal	40	2	matched	3.0	0.3599	0.927	0.05	220	399	150	0.6818	0.6176	0.7398	0.9319	0.391	0.0394	0.0025	0.0275	0.11	2.0
0.35	l2	lognormal	40	2	independent_null	3.0	0.3599	0.927	0.05	220	399	13	0.0591	0.0349	0.0985	0.8859	0.0058	0.4879	0.0423	0.4613	0.9475	0.1091
0.35	l2	lognormal	40	3	matched	2.5	0.3358	0.935	0.05	220	399	94	0.4273	0.3637	0.4933	0.9348	0.3189	0.0685	0.0025	0.0575	0.158	3.0
0.35	l2	lognormal	40	3	independent_null	2.5	0.3358	0.935	0.05	220	399	16	0.0727	0.0453	0.1149	0.9051	0.028	0.456	0.0249	0.4575	0.9405	0.2773
0.35	l2	lognormal	80	1	matched	4.5	0.3249	0.8943	0.05	220	399	153	0.6955	0.6317	0.7525	0.8935	0.3154	0.0361	0.005	0.035	0.0751	1.0
0.35	l2	lognormal	80	1	independent_null	4.5	0.3249	0.8943	0.05	220	399	10	0.0455	0.0249	0.0816	0.8424	-0.0083	0.5279	0.0524	0.5312	0.955	0.0136
0.35	l2	lognormal	80	2	matched	3.5	0.3072	0.9011	0.05	220	399	167	0.7591	0.6984	0.8108	0.902	0.3128	0.0319	0.0025	0.03	0.0775	2.0
0.35	l2	lognormal	80	2	independent_null	3.5	0.3072	0.9011	0.05	220	399	9	0.0409	0.0217	0.0759	0.856	0.0033	0.484	0.0571	0.4788	0.9525	0.05
0.35	l2	lognormal	80	3	matched	3.5	0.4083	0.9193	0.05	220	399	218	0.9909	0.9675	0.9975	0.9206	0.4113	0.0111	0.0025	0.005	0.035	3.0
0.35	l2	lognormal	80	3	independent_null	3.5	0.4083	0.9193	0.05	220	399	11	0.05	0.0281	0.0873	0.8596	-0.002	0.5006	0.0688	0.5088	0.9501	0.1
0.35	l2	lognormal	160	1	matched	7.0	0.3882	0.8858	0.05	220	399	220	1.0	0.9828	1.0	0.8891	0.4015	0.0091	0.0025	0.0075	0.0226	1.0
0.35	l2	lognormal	160	1	independent_null	7.0	0.3882	0.8858	0.05	220	399	10	0.0455	0.0249	0.0816	0.8135	0.0	0.4979	0.0571	0.47	0.965	0.0045
0.35	l2	lognormal	160	2	matched	5.0	0.3615	0.8906	0.05	220	399	220	1.0	0.9828	1.0	0.8906	0.3591	0.0068	0.0025	0.005	0.0225	2.0
0.35	l2	lognormal	160	2	independent_null	5.0	0.3615	0.8906	0.05	220	399	11	0.05	0.0281	0.0873	0.8262	0.0075	0.4859	0.0521	0.525	0.9476	0.0136
0.35	l2	lognormal	160	3	matched	4.0	0.3135	0.8892	0.05	220	399	220	1.0	0.9828	1.0	0.8923	0.3219	0.0089	0.0025	0.005	0.0226	3.0
0.35	l2	lognormal	160	3	independent_null	4.0	0.3135	0.8892	0.05	220	399	13	0.0591	0.0349	0.0985	0.8381	0.01	0.4734	0.0473	0.45	0.945	0.0955
0.35	l1	normal	40	1	matched	3.0	0.3709	0.9192	0.05	220	399	148	0.6727	0.6082	0.7313	0.9175	0.3512	0.0548	0.005	0.0325	0.198	1.0
0.35	l1	normal	40	1	independent_null	3.0	0.3709	0.9192	0.05	220	399	14	0.0636	0.0383	0.104	0.8689	-0.0038	0.5208	0.0398	0.5637	0.9604	0.0455
0.35	l1	normal	40	2	matched	2.5	0.3493	0.9252	0.05	220	399	151	0.6864	0.6223	0.744	0.9277	0.3601	0.0565	0.0025	0.02	0.2325	2.0
0.35	l1	normal	40	2	independent_null	2.5	0.3493	0.9252	0.05	220	399	10	0.0455	0.0249	0.0816	0.8845	0.0083	0.4847	0.0573	0.4712	0.9579	0.1091
0.35	l1	normal	40	3	matched	2.5	0.398	0.9346	0.05	220	399	169	0.7682	0.7081	0.8191	0.9347	0.3962	0.0333	0.0025	0.015	0.1204	3.0
0.35	l1	normal	40	3	independent_null	2.5	0.398	0.9346	0.05	220	399	13	0.0591	0.0349	0.0985	0.8899	0.0197	0.4644	0.0424	0.4537	0.9626	0.2773
0.35	l1	normal	80	1	matched	3.5	0.3293	0.9111	0.05	220	399	189	0.8591	0.8069	0.8989	0.9085	0.3124	0.0264	0.0025	0.015	0.1081	1.0
0.35	l1	normal	80	1	independent_null	3.5	0.3293	0.9111	0.05	220	399	14	0.0636	0.0383	0.104	0.865	-0.0052	0.5231	0.0349	0.5188	0.9801	0.0136
0.35	l1	normal	80	2	matched	3.0	0.3675	0.9171	0.05	220	399	210	0.9545	0.9184	0.9751	0.9149	0.3458	0.014	0.0025	0.0075	0.0451	2.0
0.35	l1	normal	80	2	independent_null	3.0	0.3675	0.9171	0.05	220	399	13	0.0591	0.0349	0.0985	0.8679	0.0005	0.5019	0.0396	0.4975	0.9401	0.05
0.35	l1	normal	80	3	matched	2.5	0.2755	0.9147	0.05	220	399	177	0.8045	0.7471	0.8515	0.9177	0.2917	0.0326	0.0025	0.01	0.138	3.0
0.35	l1	normal	80	3	independent_null	2.5	0.2755	0.9147	0.05	220	399	10	0.0455	0.0249	0.0816	0.8836	0.0129	0.4669	0.0573	0.43	0.9454	0.1
0.35	l1	normal	160	1	matched	5.0	0.3698	0.9052	0.05	220	399	220	1.0	0.9828	1.0	0.9052	0.3718	0.0057	0.0025	0.005	0.0125	1.0
0.35	l1	normal	160	1	independent_null	5.0	0.3698	0.9052	0.05	220	399	12	0.0545	0.0315	0.0929	0.8497	0.0049	0.4855	0.0423	0.4862	0.9502	0.0045
0.35	l1	normal	160	2	matched	3.5	0.3123	0.9078	0.05	220	399	218	0.9909	0.9675	0.9975	0.906	0.3004	0.0059	0.0025	0.0025	0.0175	2.0
0.35	l1	normal	160	2	independent_null	3.5	0.3123	0.9078	0.05	220	399	17	0.0773	0.0488	0.1203	0.8655	0.0066	0.4895	0.0349	0.515	0.9235	0.0136
0.35	l1	normal	160	3	matched	3.5	0.3852	0.9114	0.05	220	399	220	1.0	0.9828	1.0	0.9123	0.3849	0.0028	0.0025	0.0025	0.005	3.0
0.35	l1	normal	160	3	independent_null	3.5	0.3852	0.9114	0.05	220	399	19	0.0864	0.056	0.1309	0.8574	0.0085	0.4787	0.0273	0.5088	0.9654	0.0955
0.35	l1	t3	40	1	matched	5.5	0.3499	0.8395	0.05	220	399	121	0.55	0.484	0.6143	0.8428	0.3519	0.076	0.0025	0.0425	0.2527	1.0
0.35	l1	t3	40	1	independent_null	5.5	0.3499	0.8395	0.05	220	399	11	0.05	0.0281	0.0873	0.7513	-0.0076	0.5098	0.0618	0.4738	0.9702	0.0136
0.35	l1	t3	40	2	matched	4.5	0.3598	0.8664	0.05	220	399	136	0.6182	0.5525	0.6798	0.8655	0.3768	0.0657	0.0025	0.03	0.2485	2.0
0.35	l1	t3	40	2	independent_null	4.5	0.3598	0.8664	0.05	220	399	11	0.05	0.0281	0.0873	0.7873	-0.0036	0.5064	0.057	0.4888	0.9402	0.0909
0.35	l1	t3	40	3	matched	4.0	0.3221	0.87	0.05	220	399	127	0.5773	0.5112	0.6407	0.8784	0.3417	0.0826	0.0025	0.0338	0.2901	3.0
0.35	l1	t3	40	3	independent_null	4.0	0.3221	0.87	0.05	220	399	13	0.0591	0.0349	0.0985	0.8155	0.0062	0.4984	0.0474	0.5125	0.9477	0.2364
0.35	l1	t3	80	1	matched	7.0	0.3189	0.8177	0.05	220	399	148	0.6727	0.6082	0.7313	0.8132	0.3132	0.046	0.0025	0.0263	0.1451	1.0
0.35	l1	t3	80	1	independent_null	7.0	0.3189	0.8177	0.05	220	399	16	0.0727	0.0453	0.1149	0.7288	0.0196	0.4405	0.0425	0.3962	0.9177	0.0318
0.35	l1	t3	80	2	matched	6.0	0.3427	0.8255	0.05	220	399	174	0.7909	0.7324	0.8394	0.8279	0.3542	0.0288	0.0025	0.0125	0.0977	2.0
0.35	l1	t3	80	2	independent_null	6.0	0.3427	0.8255	0.05	220	399	12	0.0545	0.0315	0.0929	0.7417	0.0088	0.4906	0.0396	0.4912	0.9675	0.0773
0.35	l1	t3	80	3	matched	5.0	0.3408	0.8496	0.05	220	399	181	0.8227	0.7669	0.8675	0.8467	0.342	0.0291	0.0025	0.01	0.1125	3.0
0.35	l1	t3	80	3	independent_null	5.0	0.3408	0.8496	0.05	220	399	10	0.0455	0.0249	0.0816	0.7618	-0.0025	0.5064	0.05	0.53	0.9502	0.1409
0.35	l1	t3	160	1	matched	10.0	0.3161	0.7867	0.05	220	399	204	0.9273	0.8851	0.9547	0.7903	0.3235	0.0169	0.0025	0.01	0.0551	1.0
0.35	l1	t3	160	1	independent_null	10.0	0.3161	0.7867	0.05	220	399	6	0.0273	0.0126	0.0582	0.6848	-0.0062	0.5197	0.0825	0.5437	0.9327	0.0
0.35	l1	t3	160	2	matched	8.0	0.3548	0.8072	0.05	220	399	212	0.9636	0.9299	0.9815	0.7991	0.3386	0.0127	0.0025	0.005	0.045	2.0
0.35	l1	t3	160	2	independent_null	8.0	0.3548	0.8072	0.05	220	399	12	0.0545	0.0315	0.0929	0.7001	0.0029	0.4926	0.0424	0.51	0.9176	0.0409
0.35	l1	t3	160	3	matched	7.0	0.3569	0.8128	0.05	220	399	211	0.9591	0.9241	0.9783	0.8179	0.3598	0.0091	0.0025	0.0025	0.04	3.0
0.35	l1	t3	160	3	independent_null	7.0	0.3569	0.8128	0.05	220	399	8	0.0364	0.0185	0.0701	0.7183	0.0093	0.4558	0.0649	0.4113	0.9075	0.0591
0.35	l1	t2	40	1	matched	8.0	0.3026	0.757	0.05	220	399	76	0.3455	0.2858	0.4105	0.7608	0.294	0.1033	0.0075	0.0775	0.2804	1.0
0.35	l1	t2	40	1	independent_null	8.0	0.3026	0.757	0.05	220	399	18	0.0818	0.0524	0.1256	0.6759	0.0076	0.5049	0.0225	0.515	0.95	0.0227
0.35	l1	t2	40	2	matched	7.0	0.393	0.8233	0.05	220	399	111	0.5045	0.439	0.57	0.8108	0.3668	0.071	0.0025	0.0462	0.215	2.0
0.35	l1	t2	40	2	independent_null	7.0	0.393	0.8233	0.05	220	399	10	0.0455	0.0249	0.0816	0.7002	0.0007	0.5027	0.0571	0.5188	0.9301	0.0682
0.35	l1	t2	40	3	matched	6.0	0.3612	0.8322	0.05	220	399	110	0.5	0.4345	0.5655	0.8179	0.3281	0.0987	0.0025	0.0488	0.3782	3.0
0.35	l1	t2	40	3	independent_null	6.0	0.3612	0.8322	0.05	220	399	6	0.0273	0.0126	0.0582	0.7438	-0.0064	0.5002	0.0874	0.5	0.9302	0.2591
0.35	l1	t2	80	1	matched	10.0	0.2668	0.7275	0.05	220	399	98	0.4455	0.3813	0.5115	0.7028	0.2362	0.0739	0.0074	0.0525	0.2176	1.0
0.35	l1	t2	80	1	independent_null	10.0	0.2668	0.7275	0.05	220	399	8	0.0364	0.0185	0.0701	0.6191	-0.0088	0.5065	0.07	0.5075	0.9254	0.0
0.35	l1	t2	80	2	matched	10.0	0.3356	0.7363	0.05	220	399	163	0.7409	0.6792	0.7943	0.7568	0.3706	0.0381	0.0025	0.01	0.1502	2.0
0.35	l1	t2	80	2	independent_null	10.0	0.3356	0.7363	0.05	220	399	10	0.0455	0.0249	0.0816	0.6138	0.0041	0.4929	0.05	0.4537	0.955	0.0455
0.35	l1	t2	80	3	matched	8.0	0.3767	0.7949	0.05	220	399	145	0.6591	0.5942	0.7185	0.7594	0.3309	0.0535	0.0025	0.0125	0.2155	3.0
0.35	l1	t2	80	3	independent_null	8.0	0.3767	0.7949	0.05	220	399	9	0.0409	0.0217	0.0759	0.6562	0.0041	0.4792	0.0575	0.49	0.935	0.1045
0.35	l1	t2	160	1	matched	10.0	0.1336	0.6599	0.05	220	399	65	0.2955	0.2391	0.3588	0.6359	0.1203	0.1182	0.01	0.0875	0.3132	1.0
0.35	l1	t2	160	1	independent_null	10.0	0.1336	0.6599	0.05	220	399	11	0.05	0.0281	0.0873	0.5929	0.0081	0.4747	0.0523	0.4688	0.9281	0.0045
0.35	l1	t2	160	2	matched	10.0	0.1759	0.6527	0.05	220	399	132	0.6	0.5341	0.6625	0.6757	0.2087	0.0539	0.0025	0.0287	0.2077	2.0
0.35	l1	t2	160	2	independent_null	10.0	0.1759	0.6527	0.05	220	399	7	0.0318	0.0155	0.0642	0.5887	-0.0021	0.4986	0.0722	0.47	0.9501	0.0227
0.35	l1	t2	160	3	matched	10.0	0.2805	0.7102	0.05	220	399	161	0.7318	0.6697	0.786	0.6903	0.2598	0.0355	0.0025	0.015	0.1401	3.0
0.35	l1	t2	160	3	independent_null	10.0	0.2805	0.7102	0.05	220	399	14	0.0636	0.0383	0.104	0.5962	-0.0008	0.5069	0.0275	0.5188	0.9351	0.0545
0.35	l1	lognormal	40	1	matched	3.5	0.3238	0.8264	0.05	220	399	84	0.3818	0.3202	0.4475	0.8205	0.3229	0.069	0.0075	0.06	0.145	1.0
0.35	l1	lognormal	40	1	independent_null	3.5	0.3238	0.8264	0.05	220	399	10	0.0455	0.0249	0.0816	0.7499	0.0075	0.4957	0.05	0.51	0.9425	0.0455
0.35	l1	lognormal	40	2	matched	3.0	0.3622	0.8538	0.05	220	399	159	0.7227	0.6601	0.7777	0.8648	0.3942	0.036	0.0025	0.0275	0.0977	2.0
0.35	l1	lognormal	40	2	independent_null	3.0	0.3622	0.8538	0.05	220	399	11	0.05	0.0281	0.0873	0.7727	0.002	0.4912	0.0498	0.5025	0.938	0.1091
0.35	l1	lognormal	40	3	matched	2.5	0.3653	0.8802	0.05	220	399	105	0.4773	0.4122	0.5431	0.8768	0.3405	0.0557	0.0025	0.0525	0.1275	3.0
0.35	l1	lognormal	40	3	independent_null	2.5	0.3653	0.8802	0.05	220	399	17	0.0773	0.0488	0.1203	0.8164	0.0297	0.4532	0.0249	0.45	0.9236	0.2773
0.35	l1	lognormal	80	1	matched	5.0	0.3567	0.792	0.05	220	399	189	0.8591	0.8069	0.8989	0.7869	0.3508	0.0271	0.0025	0.025	0.065	1.0
0.35	l1	lognormal	80	1	independent_null	5.0	0.3567	0.792	0.05	220	399	10	0.0455	0.0249	0.0816	0.6716	-0.0096	0.5323	0.0548	0.55	0.943	0.0136
0.35	l1	lognormal	80	2	matched	4.0	0.3829	0.8155	0.05	220	399	216	0.9818	0.9542	0.9929	0.813	0.384	0.0136	0.0025	0.01	0.035	2.0
0.35	l1	lognormal	80	2	independent_null	4.0	0.3829	0.8155	0.05	220	399	10	0.0455	0.0249	0.0816	0.6946	0.0001	0.5016	0.0624	0.4925	0.9475	0.05
0.35	l1	lognormal	80	3	matched	3.5	0.3973	0.8322	0.05	220	399	220	1.0	0.9828	1.0	0.8368	0.4035	0.0099	0.0025	0.005	0.0275	3.0
0.35	l1	lognormal	80	3	independent_null	3.5	0.3973	0.8322	0.05	220	399	11	0.05	0.0281	0.0873	0.7146	-0.0014	0.5014	0.0543	0.4988	0.9431	0.1
0.35	l1	lognormal	160	1	matched	7.0	0.3489	0.7539	0.05	220	399	220	1.0	0.9828	1.0	0.7613	0.3609	0.01	0.0025	0.0075	0.0225	1.0
0.35	l1	lognormal	160	1	independent_null	7.0	0.3489	0.7539	0.05	220	399	10	0.0455	0.0249	0.0816	0.6283	0.0004	0.4949	0.0675	0.4812	0.9476	0.0045
0.35	l1	lognormal	160	2	matched	5.0	0.3347	0.7685	0.05	220	399	220	1.0	0.9828	1.0	0.7703	0.3327	0.0071	0.0025	0.005	0.02	2.0
0.35	l1	lognormal	160	2	independent_null	5.0	0.3347	0.7685	0.05	220	399	13	0.0591	0.0349	0.0985	0.6487	0.0066	0.4923	0.0373	0.5325	0.94	0.0136
0.35	l1	lognormal	160	3	matched	4.5	0.3722	0.7877	0.05	220	399	220	1.0	0.9828	1.0	0.7905	0.3743	0.0042	0.0025	0.0025	0.0125	3.0
0.35	l1	lognormal	160	3	independent_null	4.5	0.3722	0.7877	0.05	220	399	15	0.0682	0.0418	0.1094	0.6596	0.0115	0.468	0.0348	0.435	0.9526	0.0955
