validation	design	kind	df_label	n	k_extremes	k_fraction	magnitude	scenario	alpha	repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_norm	mean_corr	mean_index_overlap	mean_p	p05	p50	p95
fixed_k_vs_fixed_proportion	fixed_k	l2	normal	40	2	0.05	6.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9825	0.8858	2.0	0.004	0.0033	0.0033	0.0067
fixed_k_vs_fixed_proportion	fixed_proportion	l2	normal	40	2	0.05	6.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9821	0.8828	2.0	0.004	0.0033	0.0033	0.0067
fixed_k_vs_fixed_proportion	fixed_k	l2	normal	80	2	0.025	6.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9679	0.7881	2.0	0.0035	0.0033	0.0033	0.0067
fixed_k_vs_fixed_proportion	fixed_proportion	l2	normal	80	4	0.05	6.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9812	0.8813	4.0	0.0033	0.0033	0.0033	0.0033
fixed_k_vs_fixed_proportion	fixed_k	l2	normal	160	2	0.0125	6.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9531	0.6511	2.0	0.0034	0.0033	0.0033	0.0033
fixed_k_vs_fixed_proportion	fixed_proportion	l2	normal	160	8	0.05	6.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9807	0.88	8.0	0.0033	0.0033	0.0033	0.0033
fixed_k_vs_fixed_proportion	fixed_k	l2	normal	40	2	0.05	8.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9899	0.9452	2.0	0.0039	0.0033	0.0033	0.0067
fixed_k_vs_fixed_proportion	fixed_proportion	l2	normal	40	2	0.05	8.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9899	0.945	2.0	0.0041	0.0033	0.0033	0.0067
fixed_k_vs_fixed_proportion	fixed_k	l2	normal	80	2	0.025	8.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9804	0.8975	2.0	0.0034	0.0033	0.0033	0.0033
fixed_k_vs_fixed_proportion	fixed_proportion	l2	normal	80	4	0.05	8.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9892	0.9437	4.0	0.0033	0.0033	0.0033	0.0033
fixed_k_vs_fixed_proportion	fixed_k	l2	normal	160	2	0.0125	8.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9658	0.8028	2.0	0.0034	0.0033	0.0033	0.0033
fixed_k_vs_fixed_proportion	fixed_proportion	l2	normal	160	8	0.05	8.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9888	0.9425	8.0	0.0033	0.0033	0.0033	0.0033
fixed_k_vs_fixed_proportion	fixed_k	l2	t3	40	2	0.05	6.0	matched	0.05	250	299	214	0.856	0.8071	0.8941	0.9382	0.542	2.0	0.0257	0.0033	0.0067	0.1018
fixed_k_vs_fixed_proportion	fixed_proportion	l2	t3	40	2	0.05	6.0	matched	0.05	250	299	207	0.828	0.7763	0.8697	0.9383	0.5496	2.0	0.0263	0.0033	0.0067	0.1118
fixed_k_vs_fixed_proportion	fixed_k	l2	t3	80	2	0.025	6.0	matched	0.05	250	299	190	0.76	0.7034	0.8088	0.9044	0.3615	2.0	0.0315	0.0033	0.0133	0.1218
fixed_k_vs_fixed_proportion	fixed_proportion	l2	t3	80	4	0.05	6.0	matched	0.05	250	299	230	0.92	0.8797	0.9476	0.9307	0.5009	4.0	0.0137	0.0033	0.0033	0.0703
fixed_k_vs_fixed_proportion	fixed_k	l2	t3	160	2	0.0125	6.0	matched	0.05	250	299	169	0.676	0.6157	0.731	0.882	0.2184	2.0	0.0422	0.0033	0.0233	0.1503
fixed_k_vs_fixed_proportion	fixed_proportion	l2	t3	160	8	0.05	6.0	matched	0.05	250	299	244	0.976	0.9486	0.989	0.9224	0.4636	8.0	0.0073	0.0033	0.0033	0.03
fixed_k_vs_fixed_proportion	fixed_k	l2	t3	40	2	0.05	8.0	matched	0.05	250	299	233	0.932	0.8938	0.9571	0.9545	0.6979	2.0	0.0115	0.0033	0.0033	0.0652
fixed_k_vs_fixed_proportion	fixed_proportion	l2	t3	40	2	0.05	8.0	matched	0.05	250	299	237	0.948	0.9131	0.9694	0.9573	0.7171	2.0	0.0094	0.0033	0.0033	0.0485
fixed_k_vs_fixed_proportion	fixed_k	l2	t3	80	2	0.025	8.0	matched	0.05	250	299	238	0.952	0.918	0.9723	0.925	0.5396	2.0	0.011	0.0033	0.0033	0.0467
fixed_k_vs_fixed_proportion	fixed_proportion	l2	t3	80	4	0.05	8.0	matched	0.05	250	299	242	0.968	0.9381	0.9837	0.9516	0.6891	4.0	0.0065	0.0033	0.0033	0.0085
fixed_k_vs_fixed_proportion	fixed_k	l2	t3	160	2	0.0125	8.0	matched	0.05	250	299	237	0.948	0.9131	0.9694	0.8913	0.3548	2.0	0.0143	0.0033	0.0033	0.0522
fixed_k_vs_fixed_proportion	fixed_proportion	l2	t3	160	8	0.05	8.0	matched	0.05	250	299	249	0.996	0.9777	0.9993	0.9454	0.6568	8.0	0.0039	0.0033	0.0033	0.0033
fixed_k_vs_fixed_proportion	fixed_k	l2	t2	40	2	0.05	6.0	matched	0.05	250	299	89	0.356	0.2992	0.4171	0.8904	0.254	2.0	0.1446	0.0033	0.0967	0.4418
fixed_k_vs_fixed_proportion	fixed_proportion	l2	t2	40	2	0.05	6.0	matched	0.05	250	299	108	0.432	0.3721	0.494	0.8981	0.2949	2.0	0.1198	0.0033	0.0733	0.3685
fixed_k_vs_fixed_proportion	fixed_k	l2	t2	80	2	0.025	6.0	matched	0.05	250	299	68	0.272	0.2206	0.3303	0.8515	0.1497	2.0	0.1673	0.0067	0.1383	0.4367
fixed_k_vs_fixed_proportion	fixed_proportion	l2	t2	80	4	0.05	6.0	matched	0.05	250	299	119	0.476	0.4149	0.5378	0.8797	0.2357	4.0	0.0999	0.0033	0.0567	0.3267
fixed_k_vs_fixed_proportion	fixed_k	l2	t2	160	2	0.0125	6.0	matched	0.05	250	299	24	0.096	0.0654	0.1389	0.8158	0.0566	2.0	0.2433	0.023	0.2117	0.5618
fixed_k_vs_fixed_proportion	fixed_proportion	l2	t2	160	8	0.05	6.0	matched	0.05	250	299	121	0.484	0.4228	0.5457	0.8556	0.1725	8.0	0.0908	0.0033	0.0517	0.3322
fixed_k_vs_fixed_proportion	fixed_k	l2	t2	40	2	0.05	8.0	matched	0.05	250	299	162	0.648	0.587	0.7046	0.9119	0.4405	2.0	0.0604	0.0033	0.0167	0.2485
fixed_k_vs_fixed_proportion	fixed_proportion	l2	t2	40	2	0.05	8.0	matched	0.05	250	299	168	0.672	0.6116	0.7272	0.9167	0.4684	2.0	0.0491	0.0033	0.01	0.2055
fixed_k_vs_fixed_proportion	fixed_k	l2	t2	80	2	0.025	8.0	matched	0.05	250	299	128	0.512	0.4503	0.5733	0.8624	0.2514	2.0	0.0799	0.0033	0.0467	0.26
fixed_k_vs_fixed_proportion	fixed_proportion	l2	t2	80	4	0.05	8.0	matched	0.05	250	299	158	0.632	0.5706	0.6894	0.8909	0.3576	4.0	0.0522	0.0033	0.0167	0.18
fixed_k_vs_fixed_proportion	fixed_k	l2	t2	160	2	0.0125	8.0	matched	0.05	250	299	87	0.348	0.2917	0.4089	0.8287	0.131	2.0	0.1086	0.0067	0.0767	0.3003
fixed_k_vs_fixed_proportion	fixed_proportion	l2	t2	160	8	0.05	8.0	matched	0.05	250	299	194	0.776	0.7204	0.8233	0.8797	0.3216	8.0	0.0372	0.0033	0.0067	0.1588
fixed_k_vs_fixed_proportion	fixed_k	l1	normal	40	2	0.05	6.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9653	0.8742	2.0	0.004	0.0033	0.0033	0.0067
fixed_k_vs_fixed_proportion	fixed_proportion	l1	normal	40	2	0.05	6.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9642	0.8713	2.0	0.0042	0.0033	0.0033	0.0067
fixed_k_vs_fixed_proportion	fixed_k	l1	normal	80	2	0.025	6.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9435	0.7819	2.0	0.0035	0.0033	0.0033	0.0052
fixed_k_vs_fixed_proportion	fixed_proportion	l1	normal	80	4	0.05	6.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9628	0.8678	4.0	0.0033	0.0033	0.0033	0.0033
fixed_k_vs_fixed_proportion	fixed_k	l1	normal	160	2	0.0125	6.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.923	0.6419	2.0	0.0033	0.0033	0.0033	0.0033
fixed_k_vs_fixed_proportion	fixed_proportion	l1	normal	160	8	0.05	6.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9612	0.864	8.0	0.0033	0.0033	0.0033	0.0033
fixed_k_vs_fixed_proportion	fixed_k	l1	normal	40	2	0.05	8.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9751	0.9297	2.0	0.004	0.0033	0.0033	0.0067
fixed_k_vs_fixed_proportion	fixed_proportion	l1	normal	40	2	0.05	8.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9746	0.9291	2.0	0.004	0.0033	0.0033	0.0067
fixed_k_vs_fixed_proportion	fixed_k	l1	normal	80	2	0.025	8.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9567	0.8746	2.0	0.0034	0.0033	0.0033	0.0033
fixed_k_vs_fixed_proportion	fixed_proportion	l1	normal	80	4	0.05	8.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9743	0.9301	4.0	0.0033	0.0033	0.0033	0.0033
fixed_k_vs_fixed_proportion	fixed_k	l1	normal	160	2	0.0125	8.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9366	0.7825	2.0	0.0033	0.0033	0.0033	0.0033
fixed_k_vs_fixed_proportion	fixed_proportion	l1	normal	160	8	0.05	8.0	matched	0.05	250	299	250	1.0	0.9849	1.0	0.9733	0.9284	8.0	0.0033	0.0033	0.0033	0.0033
fixed_k_vs_fixed_proportion	fixed_k	l1	t3	40	2	0.05	6.0	matched	0.05	250	299	206	0.824	0.772	0.8662	0.8806	0.5182	2.0	0.0267	0.0033	0.01	0.1088
fixed_k_vs_fixed_proportion	fixed_proportion	l1	t3	40	2	0.05	6.0	matched	0.05	250	299	209	0.836	0.7851	0.8767	0.8797	0.5204	2.0	0.0262	0.0033	0.0067	0.1167
fixed_k_vs_fixed_proportion	fixed_k	l1	t3	80	2	0.025	6.0	matched	0.05	250	299	200	0.8	0.746	0.8449	0.8291	0.3518	2.0	0.0309	0.0033	0.01	0.1137
fixed_k_vs_fixed_proportion	fixed_proportion	l1	t3	80	4	0.05	6.0	matched	0.05	250	299	227	0.908	0.8657	0.9379	0.869	0.494	4.0	0.0144	0.0033	0.0033	0.077
fixed_k_vs_fixed_proportion	fixed_k	l1	t3	160	2	0.0125	6.0	matched	0.05	250	299	173	0.692	0.6322	0.746	0.7887	0.2054	2.0	0.0445	0.0033	0.0267	0.167
fixed_k_vs_fixed_proportion	fixed_proportion	l1	t3	160	8	0.05	6.0	matched	0.05	250	299	248	0.992	0.9713	0.9978	0.8613	0.4684	8.0	0.0057	0.0033	0.0033	0.0133
fixed_k_vs_fixed_proportion	fixed_k	l1	t3	40	2	0.05	8.0	matched	0.05	250	299	234	0.936	0.8986	0.9602	0.9058	0.6825	2.0	0.0127	0.0033	0.0033	0.0533
fixed_k_vs_fixed_proportion	fixed_proportion	l1	t3	40	2	0.05	8.0	matched	0.05	250	299	241	0.964	0.933	0.9809	0.9132	0.7003	2.0	0.0095	0.0033	0.0033	0.04
fixed_k_vs_fixed_proportion	fixed_k	l1	t3	80	2	0.025	8.0	matched	0.05	250	299	239	0.956	0.9229	0.9753	0.8555	0.5294	2.0	0.01	0.0033	0.0033	0.0452
fixed_k_vs_fixed_proportion	fixed_proportion	l1	t3	80	4	0.05	8.0	matched	0.05	250	299	246	0.984	0.9596	0.9938	0.8943	0.6528	4.0	0.0052	0.0033	0.0033	0.0118
fixed_k_vs_fixed_proportion	fixed_k	l1	t3	160	2	0.0125	8.0	matched	0.05	250	299	244	0.976	0.9486	0.989	0.8046	0.3472	2.0	0.0126	0.0033	0.0033	0.04
fixed_k_vs_fixed_proportion	fixed_proportion	l1	t3	160	8	0.05	8.0	matched	0.05	250	299	248	0.992	0.9713	0.9978	0.8906	0.642	8.0	0.0042	0.0033	0.0033	0.0033
fixed_k_vs_fixed_proportion	fixed_k	l1	t2	40	2	0.05	6.0	matched	0.05	250	299	101	0.404	0.3451	0.4658	0.8036	0.308	2.0	0.104	0.0033	0.0767	0.3303
fixed_k_vs_fixed_proportion	fixed_proportion	l1	t2	40	2	0.05	6.0	matched	0.05	250	299	123	0.492	0.4306	0.5536	0.8026	0.3163	2.0	0.1036	0.0033	0.05	0.3467
fixed_k_vs_fixed_proportion	fixed_k	l1	t2	80	2	0.025	6.0	matched	0.05	250	299	69	0.276	0.2243	0.3345	0.7198	0.1573	2.0	0.1464	0.0033	0.1167	0.3925
fixed_k_vs_fixed_proportion	fixed_proportion	l1	t2	80	4	0.05	6.0	matched	0.05	250	299	123	0.492	0.4306	0.5536	0.7646	0.2402	4.0	0.0893	0.0033	0.05	0.311
fixed_k_vs_fixed_proportion	fixed_k	l1	t2	160	2	0.0125	6.0	matched	0.05	250	299	38	0.152	0.1128	0.2017	0.6319	0.0644	2.0	0.2303	0.02	0.1933	0.5437
fixed_k_vs_fixed_proportion	fixed_proportion	l1	t2	160	8	0.05	6.0	matched	0.05	250	299	144	0.576	0.514	0.6357	0.7137	0.1829	8.0	0.0711	0.0033	0.0367	0.2285
fixed_k_vs_fixed_proportion	fixed_k	l1	t2	40	2	0.05	8.0	matched	0.05	250	299	151	0.604	0.5422	0.6626	0.8161	0.4352	2.0	0.0562	0.0033	0.015	0.2003
fixed_k_vs_fixed_proportion	fixed_proportion	l1	t2	40	2	0.05	8.0	matched	0.05	250	299	173	0.692	0.6322	0.746	0.8273	0.4576	2.0	0.051	0.0033	0.0133	0.2022
fixed_k_vs_fixed_proportion	fixed_k	l1	t2	80	2	0.025	8.0	matched	0.05	250	299	149	0.596	0.5342	0.6549	0.7417	0.274	2.0	0.0617	0.0033	0.0333	0.2052
fixed_k_vs_fixed_proportion	fixed_proportion	l1	t2	80	4	0.05	8.0	matched	0.05	250	299	174	0.696	0.6364	0.7497	0.7753	0.3521	4.0	0.0451	0.0033	0.0133	0.1752
fixed_k_vs_fixed_proportion	fixed_k	l1	t2	160	2	0.0125	8.0	matched	0.05	250	299	97	0.388	0.3297	0.4497	0.6549	0.1341	2.0	0.1043	0.0067	0.0667	0.3357
fixed_k_vs_fixed_proportion	fixed_proportion	l1	t2	160	8	0.05	8.0	matched	0.05	250	299	199	0.796	0.7417	0.8413	0.7423	0.3046	8.0	0.0304	0.0033	0.0083	0.1118
